Wall time,Step,Value
1656923139.8106098,1,0.25916123390197754
1656923213.7597938,2,0.46254071593284607
1656923287.1958349,3,0.5357288122177124
1656923360.883293,4,0.5748167634010315
1656923434.7416887,5,0.6036238074302673
1656923508.7113535,6,0.6292752623558044
1656923582.076792,7,0.642100989818573
1656923656.6110177,8,0.6602198481559753
1656923730.0829766,9,0.6680577993392944
1656923803.8097923,10,0.6849552392959595
1656923877.1485984,11,0.7006310820579529
1656923951.1826475,12,0.7025651335716248
1656924024.4727335,13,0.7301506400108337
1656924098.0256526,14,0.7201750874519348
1656924171.4709826,15,0.7287255525588989
1656924244.8888452,16,0.7368689179420471
1656924318.9076097,17,0.7404316067695618
1656924392.7925642,18,0.7538681030273438
1656924466.5495903,19,0.7559038996696472
1656924540.5721633,20,0.7626221776008606
1656924614.1581652,21,0.7645561695098877
1656924687.9359622,22,0.7708672881126404
1656924761.103306,23,0.771477997303009
1656924834.7481441,24,0.7776873111724854
1656924908.0297976,25,0.784405529499054
1656924981.5315855,26,0.778298020362854
1656925055.290384,27,0.7868485450744629
1656925129.101266,28,0.7865431308746338
1656925202.6532989,29,0.795399010181427
1656925276.314968,30,0.7980455756187439
1656925350.197276,31,0.8063924908638
1656925424.152691,32,0.8042548894882202
1656925497.36077,33,0.805171012878418
1656925570.678157,34,0.7979438304901123
1656925644.1121397,35,0.8122963905334473
1656925717.4153643,36,0.8175895810127258
1656925790.9780724,37,0.8197271823883057
1656925864.3978846,38,0.8241042494773865
1656925938.3444364,39,0.8273615837097168
1656926012.1831217,40,0.8176913857460022
1656926085.6690786,41,0.8260383009910583
1656926159.307858,42,0.826649010181427
1656926232.8306255,43,0.8345887660980225
1656926306.8848028,44,0.8354030847549438
1656926380.976323,45,0.8370317816734314
1656926454.7671502,46,0.8356066942214966
1656926528.6383927,47,0.8421213626861572
1656926601.878411,48,0.8466001749038696
1656926675.5633616,49,0.8386604189872742
1656926749.1133058,50,0.8460912108421326
1656926822.5889015,51,0.8418159484863281
1656926896.2058837,52,0.8425285220146179
1656926969.6170366,53,0.854743480682373
1656927042.9414184,54,0.8488395810127258
1656927116.233618,55,0.8536238074302673
1656927189.3684127,56,0.8597312569618225
1656927262.7131846,57,0.8597312569618225
1656927336.609392,58,0.8650244474411011
1656927409.9174037,59,0.857186496257782
1656927483.205946,60,0.8605455756187439
1656927556.7685587,61,0.8567793369293213
1656927630.0144646,62,0.864006519317627
1656927703.5904303,63,0.861563503742218
1656927777.3920126,64,0.8653298020362854
1656927850.5682652,65,0.8667548894882202
1656927923.8877523,66,0.8684853315353394
1656927997.5124378,67,0.8705211877822876
1656928070.3903358,68,0.872048020362854
1656928144.137734,69,0.8716408610343933
1656928217.798085,70,0.8740838766098022
1656928291.3446028,71,0.8775447607040405
1656928364.7332687,72,0.8733713626861572
1656928438.1891818,73,0.8748981952667236
1656928512.0810418,74,0.8734731078147888
1656928584.9694135,75,0.8822271823883057
1656928658.734603,76,0.8809038996696472
1656928732.365747,77,0.875
1656928806.0401454,78,0.8811075091362
1656928879.211973,79,0.8814128637313843
1656928952.8524158,80,0.8811075091362
1656929026.9959092,81,0.8802931308746338
1656929100.6063378,82,0.8864006400108337
1656929174.2620764,83,0.8835504651069641
1656929248.0525908,84,0.8877239227294922
1656929322.109394,85,0.885993480682373
1656929395.7289002,86,0.892304539680481
1656929469.8083158,87,0.8850773572921753
1656929543.818605,88,0.8857899308204651
1656929617.8376925,89,0.8881310820579529
1656929691.5247514,90,0.8881310820579529
1656929765.270564,91,0.8886400461196899
1656929839.141129,92,0.8897597789764404
1656929913.0995107,93,0.8912866711616516
1656929986.8437927,94,0.8954600691795349
1656930060.409542,95,0.8880293369293213
1656930134.1647756,96,0.8937296271324158
1656930207.7195222,97,0.8984120488166809
1656930281.011899,98,0.8962744474411011
1656930354.7297618,99,0.8915920257568359
1656930428.0878356,100,0.9039087891578674
1656930502.1378443,101,0.9015675783157349
1656930575.65598,102,0.902585506439209
1656930649.1759877,103,0.9000407457351685
1656930722.8001719,104,0.8986156582832336
1656930796.4893088,105,0.9021783471107483
1656930869.8974056,106,0.9045195579528809
1656930943.2647955,107,0.8998371362686157
1656931016.8551176,108,0.9004479050636292
1656931090.6524408,109,0.9037052392959595
1656931163.7504976,110,0.9086930155754089
1656931236.921768,111,0.9021783471107483
1656931310.701886,112,0.9098126888275146
1656931384.5986078,113,0.9087947607040405
1656931458.535454,114,0.9098126888275146
1656931531.8988109,115,0.906962513923645
1656931605.8356779,116,0.9087947607040405
1656931679.727646,117,0.9110342264175415
1656931753.1224015,118,0.9105252623558044
1656931826.5244753,119,0.9065553545951843
1656931900.2146704,120,0.9127646684646606
1656931973.771051,121,0.9145969152450562
1656932047.7852092,122,0.912866473197937
1656932121.1642594,123,0.9124592542648315
1656932194.5193682,124,0.9168363213539124
1656932267.9268465,125,0.9179560542106628
1656932341.3431811,126,0.9144951105117798
1656932415.0191362,127,0.9163273572921753
1656932488.8113842,128,0.9155130386352539
1656932562.5248024,129,0.9107288122177124
1656932635.7594988,130,0.9184649586677551
1656932709.0353544,131,0.9166327118873596
1656932781.9712706,132,0.9206026196479797
1656932855.6593196,133,0.9181596040725708
1656932929.3820705,134,0.9166327118873596
1656933003.328606,135,0.923350989818573
1656933076.9207149,136,0.9247760772705078
1656933150.6498303,137,0.9183632135391235
1656933224.8130307,138,0.9226384162902832
1656933298.1859848,139,0.9276261925697327
1656933372.0782146,140,0.9198900461196899
1656933445.6488588,141,0.9250814318656921
1656933518.8250756,142,0.9254885911941528
1656933592.2272966,143,0.9211115837097168
1656933665.7742207,144,0.9263029098510742
1656933739.540512,145,0.9213151335716248
1656933812.7429466,146,0.9276261925697327
1656933886.7735987,147,0.9275244474411011
1656933960.1274295,148,0.9254885911941528
1656934033.5261865,149,0.930883526802063
1656934106.75833,150,0.9322068691253662
1656934180.2017493,151,0.9244706630706787
1656934254.0882542,152,0.926506519317627
1656934327.326878,153,0.9334283471107483
1656934400.8337202,154,0.9349552392959595
1656934474.1218767,155,0.9337337017059326
1656934547.7266133,156,0.9334283471107483
1656934621.6204743,157,0.9342426657676697
1656934695.3926687,158,0.938212513923645
1656934768.9923465,159,0.9391286373138428
1656934842.522848,160,0.9332247376441956
1656934915.8099453,161,0.9360749125480652
1656934989.4145746,162,0.9391286373138428
1656935063.4166434,163,0.9348534345626831
1656935137.1161244,164,0.9353623986244202
1656935210.420296,165,0.9340391159057617
1656935283.979336,166,0.9393322467803955
1656935357.274564,167,0.9386197328567505
1656935430.735292,168,0.9423859715461731
1656935504.059702,169,0.9413681030273438
1656935577.4419959,170,0.9427931308746338
1656935651.4560547,171,0.9421824216842651
1656935725.0987685,172,0.9370928406715393
1656935798.752682,173,0.9410626888275146
1656935872.5564873,174,0.9437092542648315
1656935946.0657287,175,0.9444218277931213
1656936020.027201,176,0.941164493560791
1656936094.193184,177,0.9493077993392944
1656936168.008982,178,0.9495114088058472
1656936241.495293,179,0.9481881260871887
1656936315.111691,180,0.9504275321960449
1656936388.2853703,181,0.9468648433685303
1656936462.181983,182,0.9461522698402405
1656936535.845677,183,0.9521579742431641
1656936609.5688632,184,0.9445236325263977
1656936682.9040742,185,0.9457451105117798
1656936756.4441152,186,0.9475773572921753
1656936829.7183988,187,0.951649010181427
1656936903.4520526,188,0.9534812569618225
1656936977.029822,189,0.9578583240509033
1656937050.985409,190,0.9497149586677551
1656937124.7225075,191,0.9558224678039551
1656937198.3024578,192,0.9528705477714539
1656937272.0882323,193,0.9539902210235596
1656937345.5396168,194,0.9503257274627686
1656937418.97141,195,0.9511400461196899
1656937492.4100988,196,0.9532777070999146
1656937565.761697,197,0.9565350413322449
1656937639.1588855,198,0.9521579742431641
1656937712.8504207,199,0.9559242725372314
1656937786.5339317,200,0.9581636786460876
1656937859.7220333,201,0.9561278223991394
1656937933.4504507,202,0.9599959254264832
1656938007.354395,203,0.954804539680481
1656938080.5651474,204,0.9616246223449707
1656938153.8687634,205,0.9651873111724854
1656938226.9562855,206,0.9616246223449707
1656938300.312173,207,0.9634568691253662
1656938373.9919915,208,0.9628461003303528
1656938448.0838668,209,0.9617263674736023
1656938521.5640283,210,0.9610138535499573
1656938595.2214851,211,0.9615228176116943
1656938668.8210835,212,0.964372992515564
1656938742.5066962,213,0.9658998250961304
1656938816.2989366,214,0.9672231078147888
1656938889.787322,215,0.9647801518440247
1656938963.6071393,216,0.9651873111724854
1656939037.3964758,217,0.9689536094665527
1656939110.7159803,218,0.9703786373138428
1656939183.9665885,219,0.9716001749038696
1656939257.3481402,220,0.9660016298294067
1656939330.9576168,221,0.9670195579528809
1656939404.5507064,222,0.9710912108421326
1656939478.1191714,223,0.9661034345626831
1656939551.6185331,224,0.9702768921852112
1656939625.3384328,225,0.9704804420471191
1656939698.7217863,226,0.971701979637146
1656939772.4707234,227,0.9705822467803955
1656939846.4697742,228,0.9714983701705933
1656939920.3299627,229,0.9742467403411865
1656939993.7851965,230,0.9746538996696472
1656940067.429861,231,0.9767915606498718
1656940140.864692,232,0.9761807918548584
1656940214.0949361,233,0.9745520949363708
1656940287.9832616,234,0.9738395810127258
1656940361.514629,235,0.9773004651069641
1656940434.9792156,236,0.9756718277931213
1656940508.4543283,237,0.9749592542648315
1656940582.5598016,238,0.9779112339019775
1656940655.8632452,239,0.9795399308204651
1656940729.268992,240,0.9789291620254517
1656940802.7131937,241,0.9793363213539124
1656940876.3290427,242,0.9793363213539124
1656940949.7852085,243,0.979030966758728
1656941022.933891,244,0.9801506400108337
1656941096.4256027,245,0.9830008149147034
1656941170.4509234,246,0.9805577993392944
1656941244.1006045,247,0.9809649586677551
1656941317.872193,248,0.9798452854156494
1656941391.4144943,249,0.9814739227294922
1656941464.9638028,250,0.9818810820579529
1656941538.7054365,251,0.9822883009910583
1656941611.893496,252,0.9827972054481506
1656941685.4710195,253,0.986054539680481
1656941759.2793593,254,0.9845277070999146
1656941832.883262,255,0.9849348664283752
1656941906.810114,256,0.9842222929000854
1656941980.1387718,257,0.9864616990089417
1656942053.9596078,258,0.9837133288383484
1656942127.556993,259,0.9852402210235596
1656942201.132977,260,0.9855455756187439
1656942274.8855386,261,0.9866653084754944
1656942348.4406927,262,0.9851384162902832
1656942421.6821394,263,0.9875814318656921
1656942495.0921774,264,0.9876832365989685
1656942568.8723395,265,0.9903298020362854
